Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),RollStdev ft 1 day,Rolling mean 1 day,RollStdev 1 week,Rolling mean 1 week
2022-01-01,0:00,1.514,-,2.49,1.021206927,1.86125,0.990146016,1.706130952
2022-01-01,1:00,1.817,-,2.7,1.020941239,1.860833333,0.988446518,1.702857143
2022-01-01,2:00,2.131,-,3,1.022031137,1.862083333,0.985465617,1.697678571
2022-01-01,3:00,2.37,-,3.23,1.02154898,1.861666667,0.980275749,1.689583333
2022-01-01,4:00,2.459,-,3.35,1.025717052,1.864583333,0.973106168,1.679047619
2022-01-01,5:00,2.352,-,3.24,1.039035837,1.872916667,0.964868718,1.666785714
2022-01-01,6:00,2.04,-,2.93,1.065522938,1.89,0.957943513,1.654285714
2022-01-01,7:00,1.547,-,2.5,1.095638835,1.91375,0.953492745,1.643869048
2022-01-01,8:00,0.928,-,1.95,1.119980509,1.942083333,0.951492455,1.636845238
2022-01-01,9:00,0.267,-,1.4,1.131189896,1.974166667,0.951230843,1.63422619
2022-01-01,10:00,-0.338,-,0.9,1.125100237,2.00625,0.951091203,1.63625
2022-01-01,11:00,-0.787,-,0.46,1.104051744,2.035416667,0.949617618,1.642321429
2022-01-01,12:00,-1.009,-,0.16,1.071209191,2.0625,0.945387313,1.650952381
2022-01-01,13:00,-0.977,-,0.1,1.036317949,2.08375,0.938349932,1.66077381
2022-01-01,14:00,-0.723,-,0.35,1.014357707,2.095416667,0.930518427,1.669642857
2022-01-01,15:00,-0.318,-,0.69,1.015861079,2.094583333,0.925299041,1.675357143
2022-01-01,16:00,0.142,-,1.06,1.020160544,2.091666667,0.923718957,1.677083333
2022-01-01,17:00,0.572,-,1.5,1.025715727,2.086666667,0.92520781,1.675297619
2022-01-01,18:00,0.907,-,1.82,1.029894377,2.080416667,0.929037202,1.669761905
2022-01-01,19:00,1.116,-,2.02,1.030242338,2.079166667,0.932481872,1.662619048
2022-01-01,20:00,1.206,-,2.12,1.030185628,2.080416667,0.934164355,1.655654762
2022-01-01,21:00,1.215,-,2.18,1.030499738,2.084166667,0.934478502,1.64952381
2022-01-01,22:00,1.207,-,2.22,1.030881763,2.087083333,0.933720263,1.645059524
2022-01-01,23:00,1.251,-,2.3,1.031138301,2.08875,0.932678291,1.642142857
2022-01-02,0:00,1.395,-,2.48,1.030613649,2.085833333,0.931533401,1.639880952
